Country,Year,Sums
Germany,2012,600
Germany,2013,700
Germany,2014,700
Germany,2015,900
Germany,2016,1400
Germany,2017,1400
Germany,2018,1400
Germany,2019,2100
Germany,2020,1900
Germany,2021,4100
Germany,2022,3400
Greece,2007,19
Greece,2008,32.7
Greece,2009,16.6
Greece,2010,5
Greece,2011,9.9
Greece,2012,0
Greece,2013,13.9
Greece,2014,11.1
Greece,2015,34.1
Greece,2016,8.2
Greece,2017,8.6
Greece,2018,30.7
Greece,2019,25
Greece,2020,19.5
Greece,2021,66
Greece,2022,64.3
Hungary,2007,11.2
Hungary,2008,6
Hungary,2009,1.2
Hungary,2010,18.9
Hungary,2011,36.1
Hungary,2012,39.9
Hungary,2013,28.3
Hungary,2014,45.5
Hungary,2015,49.8
Hungary,2016,52.2
Hungary,2017,50.1
Hungary,2018,68.7
Hungary,2019,141.7
Hungary,2020,129.8
Hungary,2021,134.7
Hungary,2022,83.8
Ireland,2007,72.9
Ireland,2008,82.1
Ireland,2009,78.1
Ireland,2010,51.2
Ireland,2011,61.1
Ireland,2012,81.7
Ireland,2013,113.7
Ireland,2014,91.9
Ireland,2015,91.6
Ireland,2016,200.6
Ireland,2017,175.1
Ireland,2018,300
Ireland,2019,200
Ireland,2020,200
Ireland,2021,200
Ireland,2022,400
Italy,2007,128.8
Italy,2008,176.7
Italy,2009,91.9
Italy,2010,77.3
Italy,2011,106.8
Italy,2012,101
Italy,2013,78.1
Italy,2014,52.4
Italy,2015,75.7
Italy,2016,77.1
Italy,2017,134.2
Italy,2018,100
Italy,2019,200
Italy,2020,400
Italy,2021,400
Italy,2022,700
The Netherlands,2007,255.5
The Netherlands,2008,258.6
The Netherlands,2009,143.6
The Netherlands,2010,155.2
The Netherlands,2011,147.3
The Netherlands,2012,139.8
The Netherlands,2013,200
The Netherlands,2014,200
The Netherlands,2015,200
The Netherlands,2016,200
The Netherlands,2017,400
The Netherlands,2018,400
The Netherlands,2019,500
The Netherlands,2020,700
The Netherlands,2021,1300
The Netherlands,2022,1000
Norway,2007,263
Norway,2008,180.3
Norway,2009,128
Norway,2010,154.5
Norway,2011,127.6
Norway,2012,97
Norway,2013,49.6
Norway,2014,75
Norway,2015,75
Norway,2016,75
Norway,2017,75
Norway,2018,100
Norway,2019,200
Norway,2020,100
Norway,2021,200
Norway,2022,100
Poland,2007,40.6
Poland,2008,50.3
Poland,2009,3.9
Poland,2010,3.7
Poland,2011,27.9
Poland,2012,9.9
Poland,2013,16.5
Poland,2014,23.9
Poland,2015,32
Poland,2016,79.7
Poland,2017,45.7
Poland,2018,33.3
Poland,2019,100.4
Poland,2020,138.5
Poland,2021,121.4
Poland,2022,229.7
Portugal,2007,112.8
Portugal,2008,50.3
Portugal,2009,33.9
Portugal,2010,17
Portugal,2011,9.9
Portugal,2012,11.8
Portugal,2013,28.4
Portugal,2014,36.7
Portugal,2015,44.8
Portugal,2016,19.4
Portugal,2017,24.1
Portugal,2018,25.2
Portugal,2019,46.8
Portugal,2020,40.2
Portugal,2021,47.5
Portugal,2022,63.9
Spain,2007,279.7
Spain,2008,262.3
Spain,2009,193.1
Spain,2010,253.7
Spain,2011,311.2
Spain,2012,100
Spain,2013,200
Spain,2014,300
Spain,2015,500
Spain,2016,400
Spain,2017,600
Spain,2018,500
Spain,2019,400
Spain,2020,800
Spain,2021,1500
Spain,2022,900
Sweden,2007,411.3
Sweden,2008,371
Sweden,2009,217.7
Sweden,2010,300
Sweden,2011,300
Sweden,2012,200
Sweden,2013,300
Sweden,2014,200
Sweden,2015,200
Sweden,2016,200
Sweden,2017,200
Sweden,2018,400
Sweden,2019,300
Sweden,2020,600
Sweden,2021,900
Sweden,2022,1000
Switzerland,2007,256.7
Switzerland,2008,141.8
Switzerland,2009,176.6
Switzerland,2010,161.1
Switzerland,2011,178.9
Switzerland,2012,84.9
Switzerland,2013,200
Switzerland,2014,100
Switzerland,2015,300
Switzerland,2016,300
Switzerland,2017,300
Switzerland,2018,500
Switzerland,2019,400
Switzerland,2020,500
Switzerland,2021,700
Switzerland,2022,800
United Kingdom,2007,1500
United Kingdom,2008,1400
United Kingdom,2009,700
United Kingdom,2010,700
United Kingdom,2011,800
United Kingdom,2012,700
United Kingdom,2013,700
United Kingdom,2014,900
United Kingdom,2015,1300
United Kingdom,2016,900
United Kingdom,2017,2200
United Kingdom,2018,2200
United Kingdom,2019,3000
United Kingdom,2020,2700
United Kingdom,2021,5600
United Kingdom,2022,3600
