Organization/Person Name,Description,Organization/Person Name URL,Industry-Specific VC Binary
Right Side Capital Management,Right Side Capital Management is a technology startup investment firm focused exclusively on the pre-seed stage.,https://www.crunchbase.com/organization/right-side-capital-management,0
Newchip Accelerator,Newchip is a global remote startup accelerator.,https://www.crunchbase.com/organization/newchip,0
Khosla Ventures,"Khosla Ventures provides venture assistance to entrepreneurs in AI, sustainability, enterprise, consumer, health and frontier technologies.",https://www.crunchbase.com/organization/khosla-ventures,0
Index Ventures,Index Ventures is a venture capital firm that helps the entrepreneurs turn bold ideas into global businesses.,https://www.crunchbase.com/organization/index-ventures,0
Tiger Global Management,Tiger Global Management is an investment firm that invests in global public and private companies.,https://www.crunchbase.com/organization/tiger-global,0
Google Ventures,"Google Ventures is an investment arm of Alphabet that provides seed, venture, and growth-stage funding to technology companies.",https://www.crunchbase.com/organization/google-ventures,0
European Innovation Council,"The European Innovation Council aims to support top-class innovators, entrepreneurs, small companies and researchers with bright ideas.",https://www.crunchbase.com/organization/european-innovation-council,0
Liquid 2 Ventures,"Liquid 2 Ventures is an investing firm that focuses on investing in Seed, Early Stage companies.",https://www.crunchbase.com/organization/liquid2-ventures,0
Wayra,Wayra connects Telefonica and technological disruptors around the world.,https://www.crunchbase.com/organization/wayra,0
HSG,"HSG is a leading venture capital and private equity firm investing globally in the technology, healthcare, and consumer sectors.",https://www.crunchbase.com/organization/hsg-cap,0
Innovate UK,"Innovate UK holds funding competitions for businesses and research organizations in sectors, including emerging technologies.",https://www.crunchbase.com/organization/innovate-u-k-,0
Global Founders Capital,GFC is a venture fund that supports entrepreneurs at any stage in their business development across global markets.,https://www.crunchbase.com/organization/global-founders-capital,0
High-Tech Gruenderfonds,High-Tech Gruenderfonds is a financial services company that specializes in investments and financing for various sectors.,https://www.crunchbase.com/organization/high-tech-gründerfonds,0
FasterCapital,FasterCapital is an online startup incubator and accelerator that helps entrepreneurs build and grow their businesses.,https://www.crunchbase.com/organization/fastercapital,0
Battery Ventures,Battery Ventures is an investment firm that focuses on technology.,https://www.crunchbase.com/organization/battery-ventures,0
Gaingels,Gaingels provides funding to startup companies and supports diversity and inclusion within the entrepreneurial ecosystem.,https://www.crunchbase.com/organization/gaing,0
Canaan Partners,Canaan is an early-stage venture capital firm that invests in visionaries with transformative ideas.,https://www.crunchbase.com/organization/canaan-partners,0
Salesforce Ventures,Salesforce Ventures invests in enterprise tech to help companies connect with their customers in entirely new ways.,https://www.crunchbase.com/organization/salesforce-ventures,0
Redpoint,"Redpoint is a venture capital firm that invests in retail, electronic, and technology companies.",https://www.crunchbase.com/organization/redpoint-ventures,0
Goodwater Capital,Goodwater Capital is a consumer tech investor that empowers exceptional entrepreneurs everywhere to change the world for the better.,https://www.crunchbase.com/organization/goodwater-capital,0
ZhenFund,"ZhenFund invests in future technology, AI, enterprise service, healthcare, new consumption, and mobile internet among other sectors.",https://www.crunchbase.com/organization/zhenfund,0
Hiventures,Venture Capital Fund Management Company,https://www.crunchbase.com/organization/hiventures,0
Global Brain Corporation,Global Brain Corporation is a venture capital firm that invests in companies from seed or early to pre-IPO startups.,https://www.crunchbase.com/organization/global-brain-corporation,0
BoxGroup,BoxGroup is an early-stage investment fund that invests in technology companies.,https://www.crunchbase.com/organization/boxgroup,0
Lerer Hippeau,Lerer Hippeau is a seed-stage venture capital firm investing equally across the enterprise and consumer sectors.,https://www.crunchbase.com/organization/lerer-ventures,0
Pioneer Fund,Pioneer Fund is a venture capital firm investing in the top Y Combinator startups.,https://www.crunchbase.com/organization/pioneer-fund,0
Seedcamp,Seedcamp is a European seed fund that identifies and invests early in founders attacking global markets.,https://www.crunchbase.com/organization/seedcamp,0
Startup Wise Guys,"Startup Wise Guys is a venture capital and private equity firm that invests in start ups, B2C and B2B.",https://www.crunchbase.com/organization/startup-wise-guys,0
Artesian VC,"Artesian VC is a VC firm offering end-to-end venture capital platform for startups at seed, angel, and growth stages.",https://www.crunchbase.com/organization/artesian-capital-management,0
Spark Capital,"Spark Capital is a venture capital firm that invests in the consumer, commerce, fintech, software, frontier, and media sectors.",https://www.crunchbase.com/organization/spark-capital,0
Partech,"Partech is a technology venture firm that invests in seed, venture, and growth stages.",https://www.crunchbase.com/organization/partech,0
Slow Ventures,"Slow Ventures invests in companies central to the technology industry and those on the edges of science, society, and culture.",https://www.crunchbase.com/organization/slow-ventures,0
Matrix,Matrix is a venture capital firm that invests in early-stage technology startups.,https://www.crunchbase.com/organization/matrix-partners,0
Qualcomm Ventures,Qualcomm Ventures is a global investor that assists entrepreneurs in creating revolutionary businesses.,https://www.crunchbase.com/organization/qualcomm-ventures,0
Pareto Holdings,Pareto Holdings is an early-stage investment firm that provides venture studio and funding services.,https://www.crunchbase.com/organization/pareto-holdings,0
Founder Collective,Founder Collective is a seed-stage venture capital fund that helps entrepreneurs build their businesses.,https://www.crunchbase.com/organization/founder-collective,0
Speedinvest,"Speedinvest is a venture capital fund investing in pre-seed, seed, and early-stage tech startups.",https://www.crunchbase.com/organization/speedinvest,0
Headline,Headline is a venture capital firm that focuses on seed to early-stage investments in technology-driven companies.,https://www.crunchbase.com/organization/headlinevc,0
Forum Ventures,"Forum Ventures is a venture capital firm that invests in early-stage startups, mainly in the SaaS and enterprise software sectors.",https://www.crunchbase.com/organization/forumventures,0
GGV Capital,GGV Capital is a venture capital firm that focuses on seed-to-growth stage investments across the retail and technology sectors.,https://www.crunchbase.com/organization/ggv-capital,0
Great Oaks Venture Capital,Great Oaks is an early-stage venture investment firm that invests in seed and series a investments in tech-based startups.,https://www.crunchbase.com/organization/great-oaks-venture-capital,0
Acequia Capital (AceCap),Acequia Capital is a tech-focused fund that began in Seattle.,https://www.crunchbase.com/organization/acequia-capital,0
HV Capital,HV Capital is one of the leading early-stage and growth investors in Europe.,https://www.crunchbase.com/organization/holtzbrinck-ventures,0
Entrepreneurs First,Entrepreneurs First brings ambitious founders together to build globally important technology companies.,https://www.crunchbase.com/organization/entrepreneur-first,0
Internet Initiatives Development Fund (IIDF),Internet Initiatives Development Fund is a venture fund that creates infrastructure and conditions for Russia-based businesses.,https://www.crunchbase.com/organization/internet-initiatives-develompent-fund-iidf,0
Social Starts,Social Starts is a venture capital partnership that invests in companies focusing on emerging science.,https://www.crunchbase.com/organization/social-starts,0
Octopus Ventures,"Octopus Ventures is a venture capital firm that offers support to companies at various stages of their journey, from idea conception to IPO.",https://www.crunchbase.com/organization/octopus-ventures,0
Balderton Capital,Balderton Capital is a venture capital investor that supports technology businesses.,https://www.crunchbase.com/organization/balderton-capital,0
Shasta Ventures,Shasta Ventures is a venture capital firm that focuses on investing capital in enterprises.,https://www.crunchbase.com/organization/shasta-ventures,0
Upfront Ventures,Upfront Ventures is the venture capital firm focusing on early-stage technology companies.,https://www.crunchbase.com/organization/upfront-ventures,0
Coinbase Ventures,Coinbase Ventures is an investment arm of Coinbase that aims to invest in seed-stage cryptocurrency and blockchain startups.,https://www.crunchbase.com/organization/coinbase-ventures,1
Draper Associates,Draper Associates is an early-stage venture capital firm that invests in industry-transforming companies.,https://www.crunchbase.com/organization/draper-associates-2,0
Unpopular Ventures,"We invest in the best companies, off the beaten path. Note: we are very active, making 30-40 investments per quarter. CB not up to date.",https://www.crunchbase.com/organization/unpopular-ventures,0
Correlation Ventures,"Correlation Ventures finances early, seed, and later stage venture, and debt financing investments and is based in California.",https://www.crunchbase.com/organization/correlation-ventures,0
LocalGlobe,LocalGlobe is a venture capital firm that focuses on seed and impact investments.,https://www.crunchbase.com/organization/localglobe,0
Western Technology Investment,Western Technology Investment is a venture capital firm that specializes in offering acquisition financing to revenue generating firms.,https://www.crunchbase.com/organization/western-technology-investment,0
Dreamit Ventures,Venture fund focused on startups with pilots or revenue that are ready to scale.,https://www.crunchbase.com/organization/dreamit-ventures,0
Animoca Brands,Animoca Brands is a metaverse and gaming company focused on driving digital property rights through NFTs.,https://www.crunchbase.com/organization/animoca-brands-corporation,1
StartUp Health,StartUp Health is investing in a global army of Health Transformers to achieve health moonshots.,https://www.crunchbase.com/organization/startup-health,1
Novo Holdings,Novo Holdings is a holding company specializing in life science investor with a focus on creating long-term value.,https://www.crunchbase.com/organization/novo-a-s,1
Village Global,Village Global is an early stage venture capital firm and accelerator backed by some of the world's most successful entrepreneurs.,https://www.crunchbase.com/organization/village-global-2,0
ff Venture Capital,"ff Venture Capital is a technology venture capital firm that invests in cybersecurity, AI, machine learning, drones, and cloud software.",https://www.crunchbase.com/organization/ff-venture-capital,0
Everywhere Ventures,Everywhere Ventures is a venture capital firm that focuses on investing in early-stage technology companies.,https://www.crunchbase.com/organization/everywhere-ventures,0
Flat6Labs,Flat6Labs is a seed and early-stage venture capital firm that primarily invests in tech-driven startups.,https://www.crunchbase.com/organization/flat6labs,0
QED Investors,QED Investors is an investment firm that supports high-growth companies and businesses.,https://www.crunchbase.com/organization/qed-investors,0
AltaIR Capital,"Altair Capital is an early-stage venture investment company that invest in productivity tools, HR tech, and digital health companies.",https://www.crunchbase.com/organization/altair,1
Collaborative Fund,Collaborative Fund is a venture capital firm that provides for industrial transformation and precision health services.,https://www.crunchbase.com/organization/collaborative-fund,1
Digital Currency Group,"Digital Currency Group builds and supports bitcoin and blockchain companies by leveraging insights, network, and access to capital.",https://www.crunchbase.com/organization/digital-currency-group,1
Sofinnova Partners,"Sofinnova Partners is a venture capital firm that invests in the life sciences sector, from seed to later-stage.",https://www.crunchbase.com/organization/sofinnova-partners,1
Kakao Ventures,The most active & founder-friendly seed VC of Korea (managing external LP based funds as independent subsidiary of Kakao Corp.),https://www.crunchbase.com/organization/kakao-ventures,0
Techstars Ventures,Techstars Ventures is a venture capital firm that empowers entrepreneurs to bring new technologies to the market.,https://www.crunchbase.com/organization/bullet-time-ventures,0
Inovia Capital,Inovia Capital is a venture capital firm that works with founders to create influential and permanent businesses.,https://www.crunchbase.com/organization/inovia-capital,0
Horizons Ventures,Horizons Ventures focuses on investing in disruptive and technology-focused start-ups.,https://www.crunchbase.com/organization/horizons-ventures,0
Boost VC,Boost VC is a venture capital firm that invests in early stage deep tech startups.,https://www.crunchbase.com/organization/boostfunder,1
Eniac Ventures,"Eniac Ventures is a venture capital firm that invests in startups in the technology, software, robotics, and SaaS industries.",https://www.crunchbase.com/organization/eniac-ventures,0
Craft Ventures,"Craft Ventures is a venture capital firm specializing in early-stage investments, B2B software, and SaaS companies.",https://www.crunchbase.com/organization/craft-ventures,0
Tenity,Tenity is an innovation ecosystem and early-stage investor powering the future of finance.,https://www.crunchbase.com/organization/tenity,1
Seedrs,Seedrs is a UK-based investment and crowdfunding platform.,https://www.crunchbase.com/organization/seedrs,0
Eleven Ventures,"Eleven supports early-stage tech companies from Southeast Europe in Fintech, Healthcare, Future of Work and Future of Food.",https://www.crunchbase.com/organization/eleven,1
Picus Capital,Picus Capital is an early-stage technology investment firm with a long-term investment philosophy.,https://www.crunchbase.com/organization/picus-capital,0
Tuesday Capital,Tuesday Capital is an early-stage venture capital firm that has backed over 350 startups since launching in 2011.,https://www.crunchbase.com/organization/tuesday-capital,0
Streamlined Ventures,"Streamlined Ventures is a seed-stage investment firm focusing on Data Science, APIs, Blockchain/Web3, AI, and Software Automation.",https://www.crunchbase.com/organization/streamlined-ventures,0
Northzone,Northzone is a multi-stage venture capital fund that seeks to invest in various sectors.,https://www.crunchbase.com/organization/northzone-ventures,0
EXPERT DOJO,Expert DOJO is an international startup accelerator based in Santa Monica.,https://www.crunchbase.com/organization/expert-dojo,0
Abstract,Abstract is a venture capital firm based in San Francisco.,https://www.crunchbase.com/organization/a-list-ventures,0
Earlybird Venture Capital,Earlybird is a venture capital investor focused on European technology innovators.,https://www.crunchbase.com/organization/earlybird-venture-capital,0
Point Nine,Point Nine Capital is a venture capital firm focusing on early-stage investments related to SaaS and digital marketplaces.,https://www.crunchbase.com/organization/point-nine-capital,0
DN Capital,DN Capital operates as an early-stage venture capital firm.,https://www.crunchbase.com/organization/dn-capital,0
Seventure Partners,Seventure Partners is a French venture capital firm targeting Tech/Digital and Life Sciences companies.,https://www.crunchbase.com/organization/seventure-partners,0
Polychain,Polychain Capital invests in cryptocurrency and blockchain assets.,https://www.crunchbase.com/organization/polychain-capital,1
SICTIC,Swiss ICT Investor Club (SICTIC) connects smart money investors to Swiss seed and early-stage tech startups.,https://www.crunchbase.com/organization/sictic,0
gener8tor,"Generate8tor is a venture capital firm that connects startup entrepreneurs, investors, corporations, job seekers, musicians, and artists.",https://www.crunchbase.com/organization/gener8tor,0
Next47,Next47 invests in groundbreaking enterprise entrepreneurs and accelerates revenue growth by opening doors to customers around the world.,https://www.crunchbase.com/organization/next47,0
DNX Ventures,DNX Ventures is an early stage VC firm focusing on B2B Startups that are shaping industries and transforming the way we live and work.,https://www.crunchbase.com/organization/dnx-ventures,0
Creandum,"Creandum is an early-stage venture capital firm focusing on technology companies within the consumer, software, and hardware industries.",https://www.crunchbase.com/organization/creandum,0
Entrée Capital,Entrée Capital is a venture capital firm that funds multi-stage startups and companies all over the world.,https://www.crunchbase.com/organization/entree-capital,0
NextView Ventures,NextView Ventures invests in companies that use technology to drive a brighter collective future.,https://www.crunchbase.com/organization/nextview-ventures,0
Novartis Venture Fund,Novartis Venture Fund is a venture capital firm focused on companies that develop novel therapeutics and platforms.,https://www.crunchbase.com/organization/novartis-venture-fund,1
Gradient,Gradient is the seed fund designed for AI founders.,https://www.crunchbase.com/organization/gradient-ventures,0
Anthemis,Anthemis is an asset management platform investing to change the world by reinventing finance.,https://www.crunchbase.com/organization/anthemis-group,1
Vaekstfonden,A state investment fund that provides capital and strategic support to diverse companies.,https://www.crunchbase.com/organization/vækstfonden,0
Blumberg Capital,Blumberg Capital is an early-stage venture capital firm.,https://www.crunchbase.com/organization/blumberg-capital,0
Brinc,Brinc is a venture capital and accelerator firm that empowers game changers to help solve some of the world's biggest challenges.,https://www.crunchbase.com/organization/brinc-io,0
Bayern Kapital,"Bayern Kapital is a venture capital company that offers finances for R&D, market launch of new products, and product diversification.",https://www.crunchbase.com/organization/bayern-kapital,0
b2venture,b2venture is a venture capital firm focused on early-stage investments in digital and industrial technology companies.,https://www.crunchbase.com/organization/btovpartners,0
Rockstart,"Rockstart is an early stage investor that empowers purpose-driven founders across Energy, AgriFood and EmergingTech",https://www.crunchbase.com/organization/rockstart-accelerator,1
Atomico,Atomico is an international investment firm that focuses on helping disruptive technology companies scale globally.,https://www.crunchbase.com/organization/atomico,0
Wellington Partners,Wellington Partners is a venture capital firm that invests in technology and life sciences companies.,https://www.crunchbase.com/organization/wellington-partners,0
MaC Venture Capital,"MaC Venture Capital is an early-stage venture capital firm focused on finding ideas, technology, and products that can become infectious.",https://www.crunchbase.com/organization/mac-venture-capital,0
IBB Ventures,IBB Ventures invests in technology-oriented companies and companies from the creative industries.,https://www.crunchbase.com/organization/ibb,0
Hashed,Hashed is the crypto assets fund and community builder.,https://www.crunchbase.com/organization/hashed-f96b,0
Verve Ventures,Verve Ventures is a European startup investment platform for private and institutional investors.,https://www.crunchbase.com/organization/verve-ventures,0
Notion Capital,Notion is an early-stage venture fund that focuses on technology and cloud computing markets.,https://www.crunchbase.com/organization/notion-capital,0
Betaworks,"Betaworks Ventures is a product-focused, seed-stage venture capital fund.",https://www.crunchbase.com/organization/betaworks,0
EIT InnoEnergy,EIT InnoEnergy is an environmental services company that provides catalysing and accelerating energy transitions.,https://www.crunchbase.com/organization/kic-innoenergy,1
SAP.iO,SAP.iO helps innovators start-up and scale with SAP.,https://www.crunchbase.com/organization/sap-io,0
EIT Digital Accelerator,Scaling up European Digital Ventures,https://www.crunchbase.com/organization/eit-digital-accelerator,0
Alven,Alven is a European independent venture investment firm with a successful track record of backing more than 160 startups over 2 decades.,https://www.crunchbase.com/organization/alven-capital,0
Atlantic Labs,"Atlantic Labs is a European first round investor, headquartered in Berlin.",https://www.crunchbase.com/organization/atlantic-labs,0
NGC Ventures,NGC Ventures is a venture capital firm that invests in inspiring projects related to blockchain.,https://www.crunchbase.com/organization/neo-global-capital-ngc,1
Cherry Ventures,"Cherry Ventures is a seed fund, founded by entrepreneurs with substantial experience in building fast-scaling technology companies.",https://www.crunchbase.com/organization/cherry-ventures,0
Orange DAO,Orange DAO is community venture capital.,https://www.crunchbase.com/organization/orange-fund,0
RTP Global,RTP Global is a venture capital firm that focuses on early-stage technology investments.,https://www.crunchbase.com/organization/rtp-global,0
360 Capital,360 Capital is a Pan-European Early-Stage Venture Capital firm based in Paris and Milan.,https://www.crunchbase.com/organization/360-capital-partners,0
Target Global,Target Global is a venture capital firm that invests in tech companies across all stages of their lifecycle.,https://www.crunchbase.com/organization/target-ventures,0
Breakthrough Energy Ventures,Breakthrough Energy Ventures provides reliable and affordable power without contributing to climate change.,https://www.crunchbase.com/organization/breakthrough-energy-ventures,1
XAnge,"XAnge is a Franco-German team of venture capital investors that manages assets and invests in digital, deeptech, and impact startups.",https://www.crunchbase.com/organization/xange-private-equity,0
EQT Ventures,EQT Ventures provides support and capital to bold and ambitious founders on their journeys to global success.,https://www.crunchbase.com/organization/eqtventures,0
Ventech,Ventech is a European & Chinese early-stage investment fund that invests in the digital economy.,https://www.crunchbase.com/organization/ventech-capital,0
TA Ventures,"TA Ventures is a global VC firm empowering founders to build innovative, scalable technology companies.",https://www.crunchbase.com/organization/ta-venture,0
Elemental Impact,Elemental is a non-profit investor focused on scaling climate solutions and social impact for all communities.,https://www.crunchbase.com/organization/elemental-excelerator,0
Project A Ventures,"Project A is an early-stage venture capital firm, combining financial and operational support for technology companies.",https://www.crunchbase.com/organization/project-a-ventures,0
BDMI,"BDMI is a New York-based venture capital firm focused on investments in digital media technologies, products, and distribution channels.",https://www.crunchbase.com/organization/bertelsmann-digital-media-investments,0
Hack VC,"Hack VC is an early-stage venture capital firm that invests in the cryptocurrency, fintech, and marketplaces sectors.",https://www.crunchbase.com/organization/hack-vc,1
Heartcore Capital,Heartcore is a venture capital firm that invests in companies that use technology to change people's lives for the better.,https://www.crunchbase.com/organization/heartcore-capital,0
Point72 Ventures,"Point72 Ventures is an every-stage global VC fund that focuses on fintech, deep tech, and enterprise investments.",https://www.crunchbase.com/organization/point72-ventures,0
Andera Partners,Andera Partners is a private equity firm focused on early- and late-stage venture investments.,https://www.crunchbase.com/organization/edmond-de-rothschild-investment-partners,0
boldstart ventures,"your partner from Inception; true believer for developer first, infra & SaaS founders",https://www.crunchbase.com/organization/boldstart-ventures,0
Elaia,"European venture capital firm focused on digital & deep tech startups, from early stage to growth development.",https://www.crunchbase.com/organization/elaia-partners,0
CDP Venture Capital,CDP Venture Capital is a venture capital firm,https://www.crunchbase.com/organization/cdp-venture-capital,0
ACME Capital,ACME Capital invests in breakthrough technologies that fuel platform shifts and disruptive business models that capitalize on new platforms.,https://www.crunchbase.com/organization/acme-capital,0
Blockchain Founders Fund,Blockchain Founders Fund (BFF) is a Singapore based early-stage Venture Capital Fund which invests in top-tier Blockchain startups globally.,https://www.crunchbase.com/organization/blockchain-founders-fund,1
Venrex,Venrex is a VC firm that backs creative founders to launch and build innovative businesses.,https://www.crunchbase.com/organization/venrex-investment-management,0
Relay Ventures,"Relay Ventures specializes mainly in startup, seed and early stage investments and provides support throughout the lifecycle of a startup.",https://www.crunchbase.com/organization/relay-ventures,0
Criteria Venture Tech,Criteria is a Barcelona-based evergreen VC fund part of CriteriaCaixa investing in B2B Saas and DeepTech companies across Europe,https://www.crunchbase.com/organization/caixa-capital,0
Aster,"Aster is a Venture Capital firm, partnered with more than 60 teams of entrepreneurs that are transforming markets with disruptive offers.",https://www.crunchbase.com/organization/aster-capital,0
Salica,Salica (formerly Hambro Perks) is a London-headquartered international investment firm focused on private technology investing.,https://www.crunchbase.com/organization/hambroperksltd,0
Karman Ventures,Karman Ventures is a venture capital firm backed by early employees of Uber and other decacorn startups.,https://www.crunchbase.com/organization/karman-ventures,0
Lakestar,Lakestar is a venture capital firm investing in technology companies led by exceptional entrepreneurs.,https://www.crunchbase.com/organization/lakestar,0
Lowercase Capital,Lowercase Capital is a private equity and venture capital firm specializing in investments in seed/startups.,https://www.crunchbase.com/organization/lowercase-capital,0
Yunqi Partners,Yunqi Partners is an early stage VC fund focusing on the area of internet related startups. ,https://www.crunchbase.com/organization/yunqi-partners,0
Icehouse Ventures,Icehouse Ventures is a venture capital firm that backs brave kiwi founders with unique insights building global companies.,https://www.crunchbase.com/organization/icehouse-ventures,0
KfW,KfW is a state-owned investment and development bank that offers funding loans and programs for businesses and private individuals.,https://www.crunchbase.com/organization/kfw,0
BITKRAFT Ventures,"BITKRAFT Ventures is an early-stage investment platform for gaming, esports, and interactive media.",https://www.crunchbase.com/organization/bitkraft-ventures,1
The Spartan Group,"Spartan is a blockchain advisory and asset management firm that specializes in hedge funds, venture capital, and fundraising.",https://www.crunchbase.com/organization/the-spartan-group-4202,0
Fuel Ventures,"Fuel Ventures is a technology fund investing in marketplaces, fintech, platforms, and SaaS companies.",https://www.crunchbase.com/organization/fuel-ventures-fund,0
Blockchain Capital,Blockchain Capital is a venture capital firm investing in Blockchain-enabled technology companies.,https://www.crunchbase.com/organization/crypto-currency-partners,1
Fifth Wall,Fifth Wall is a venture capital firm that focuses on technologies for the global real estate industry.,https://www.crunchbase.com/organization/fifth-wall-ventures-management,1
Launch Africa,Launch Africa is a Pan-African VC fund solving the significant funding gap in the Seed and pre-Series A investment landscape in Africa,https://www.crunchbase.com/organization/launch-africa,0
GE Ventures,"GE Ventures is an investment firm for the healthcare, energy, and manufacturing sectors.",https://www.crunchbase.com/organization/ge-ventures,1
Samurai Incubate,"Samurai Incubate invests in early-stage start-ups and provides support in management, marketing, sales and HR.",https://www.crunchbase.com/organization/samurai-incubate,0
APX,APX invests up to EUR 500K in startups until a series A starting with a quick EUR 50K investment.,https://www.crunchbase.com/organization/apxberlin,0
SixThirty,"SixThirty is a global venture capital firm focused on investing in late seed stage FinTech, InsurTech, and Cyber Security companies.",https://www.crunchbase.com/organization/sixthirty,1
Mangrove Capital Partners,"Mangrove Capital Partners provides financing, advice, relevant experience, and industry relationships to its portfolio companies.",https://www.crunchbase.com/organization/mangrove-capital-partners,0
LAUNCHub Ventures,LAUNCHub Ventures is a leading early-stage VC actively investing in SEE&CEE tech startups in Seed and Series A stages.,https://www.crunchbase.com/organization/launchub,0
Valar Ventures,Valar Ventures is a venture capital firm that invests in technology companies.,https://www.crunchbase.com/organization/valar-ventures,0
GSR,"GSR, founded in 2013, is a global leader in digital asset trading and market making.",https://www.crunchbase.com/organization/gsr,0
Firstminute Capital,"Firstminute Capital is an early-stage venture fund based in London, investing globally. Backed by 30 unicorn founders and global strategics.",https://www.crunchbase.com/organization/firstminute-capital,0
Lifeline Ventures,Lifeline Ventures is a team of serial entrepreneurs that invest in sectors we know by heart from our years as founders and startup leaders.,https://www.crunchbase.com/organization/lifeline-ventures,0
MAGIC Fund,MAGIC Fund is an early-stage venture capital fund built by founders for founders.,https://www.crunchbase.com/organization/magic-carpet,0
TriplePoint Capital,TriplePoint Capital offers leases and loans to finance companies' equipment or growth-capital needs.,https://www.crunchbase.com/organization/triplepoint-capital,0
White Star Capital,White Star Capital is an international venture and early growth-stage investment platform in technology.,https://www.crunchbase.com/organization/white-star-capital,0
AU21 Capital,A fund dedicated to backing the most brilliant minds in the blockchain space,https://www.crunchbase.com/organization/au21-capital,1
7percent Ventures,"Ex-founders turned VCs, 7percent invests in early stage transformative and deep-tech startups and teams with moonshot ambitions.",https://www.crunchbase.com/organization/7-percent,0
Frontline Ventures,Frontline is the venture firm for globally ambitious B2B companies on both sides of the Atlantic,https://www.crunchbase.com/organization/frontline-ventures,0
Shima Capital,Shima Capital is an investment fund that focuses on supporting blockchain startups.,https://www.crunchbase.com/organization/shima-capital,1
IOSG Ventures,IOSG Venture is an early-stage fund for decentralized protocols and companies. Early-stage algorithm-based ventures.,https://www.crunchbase.com/organization/iosg-ventures,1
Bantam Group,They are passionate about seeing their portfolio companies become successful.,https://www.crunchbase.com/organization/bantam-group,0
Dragonfly,Dragonfly Capital Partners is investing in and supporting the promising opportunities in the cryptoasset class.,https://www.crunchbase.com/organization/dragonfly-capital-partners-eed4,1
Sony Innovation Fund,Sony Innovation fund is the corporate venture capital arm of Sony that invests and engages in early-stage companies.,https://www.crunchbase.com/organization/sony-innovation-fund,0
Force Over Mass Capital,Force Over Mass Capital is a London based venture capital firm focused on early-stage technology investments.,https://www.crunchbase.com/organization/force-over-mass-capital,0
Bonfire Ventures,Bonfire Ventures leads Seed rounds for talented founders building the next generation of software giants.,https://www.crunchbase.com/organization/bonfire-ventures,0
Advancit Capital,"Advancit Capital focuses on early-stage companies at the intersection of media, entertainment, and technology.",https://www.crunchbase.com/organization/advancit-capital,0
IQ Capital,IQ Capital is a Cambridge & London -based VC firm investing in early-stage deeptech companies.,https://www.crunchbase.com/organization/iq-capital-partners,1
M13,M13 provides strategic counsel and operational expertise to help founders grow their companies.,https://www.crunchbase.com/organization/m13,0
Nauta Capital,Nauta Capital is a pan-European Venture Capital firm investing in early stage B2B software companies.,https://www.crunchbase.com/organization/nauta-capital,0
redalpine,redalpine is the Swiss venture capital firm investing in the frontiers of software & science across Europe.,https://www.crunchbase.com/organization/redalpine-venture-partners,0
