Organization Name,Description,Organization Name URL,B2B Binary
Lightsonic,Lightsonic develops intelligent monitoring solutions.,https://www.crunchbase.com/organization/lightsonic,
Cartesian,Cartesian provide modular and cost-effective energy storage systems for large heating and cooling systems.,https://www.crunchbase.com/organization/cartesian-90cb,
Aevy,Management of renewable power plants made scalable,https://www.crunchbase.com/organization/aevy-aaaf,
Deckmatch,Deckmatch is an AI-driven platform that enhances investment deal flow by automating routine tasks for venture capital professionals.,https://www.crunchbase.com/organization/deckmatch,
Gateway.fm,GatewayFM is a decentralized blockchain infrastructure and node provider.,https://www.crunchbase.com/organization/gateway-fm,
SportAI,SportAI is a B2B sports technology company at the forefront of enhancing sports technique analysis insights via API solutions.,https://www.crunchbase.com/organization/sport-ai,
Catchwise,Catchwise is a digital skipper’s assistant that helps you get the right information to pick the best fishery areas.,https://www.crunchbase.com/organization/catchwise,
Visoid,Visoid is a visualization software that uses artificial intelligence to create architectural model images.,https://www.crunchbase.com/organization/visoid,
Paldo,"Paldo Makes the World's Most Powerful Competitive Intelligence AI - The Secret Weapon for Leaders, Executives and Business Owners.",https://www.crunchbase.com/organization/paldo,
Presail,"Presail is a software and web service for simpler and more secure to contribute, distribute and manage sale deals.",https://www.crunchbase.com/organization/presail,
Red Rover,Creating the most novel and engaging multiplayer experiences in games.,https://www.crunchbase.com/organization/red-rover-9eab,
Economic Mind,"Economic Mind offers a comprehensive digital twin of the global economy, designed to empower strategic decision-makers.",https://www.crunchbase.com/organization/economic-mind,
Midio,Midio is a visual programming platform,https://www.crunchbase.com/organization/midio,
Starflow,Starflow is a hardware platform designed to optimize the flow of energy between solar panels.,https://www.crunchbase.com/organization/starflow-5a11,
Monad Pad,Monad Pad is a platform for tokens and NFTs.,https://www.crunchbase.com/organization/monad-pad,
Fortifai,"Fortifai fast-tracks continuous Environment, Social, and Governance (ESG) compliance.",https://www.crunchbase.com/organization/fortifai,
Plot.ai,Data driven decision making for real estate,https://www.crunchbase.com/organization/plot-ai,
Novem,Novem is a code-first data visualization and presentation platform.,https://www.crunchbase.com/organization/novem-02ad,
UNISOT™,UNISOT™ IS A WEB3 SUPPLY CHAIN SUSTAINABILITY PLATFORM as a SERVICE,https://www.crunchbase.com/organization/unisot,
Joystream,"JoyStream is a blockchain powered decentralized media distribution, curation, discovery, and monetization platform.",https://www.crunchbase.com/organization/joystream,
ImportFlow,ImportFlow is an API-first data enrichment platform that unlocks invoice value through seamless digitalization solutions.,https://www.crunchbase.com/organization/importflow,
JSgenesis,JSgenesis is building a content platform on the blockchain.,https://www.crunchbase.com/organization/jsgenesis,
Daxap,Daxap is a social entrepreneur in the IT and SaaS sectors that aims to simplify communication through smart digital solutions.,https://www.crunchbase.com/organization/daxap,
Annuum,Annuum operates as a B2B credit financing platform that connects borrowers to a diverse array of institutional lenders.,https://www.crunchbase.com/organization/annuum,
Anzyz Technologies,"Anzyz is an Artificial Intelligence company, which uniquely integrates supervised, unsupervised and manual rule based learning.",https://www.crunchbase.com/organization/anzyz-technologies,
Nevemind,"Nevemind is a desktop assistant that lets you find any files, notes or discussions across multiple platforms through a single search bar.",https://www.crunchbase.com/organization/nevemind,
Hyyr,Hyyr is an IT company that offers help and consulting for companies to find digitization partners and IT suppliers.,https://www.crunchbase.com/organization/hyyr,
ICBRG,ICBRG makes the ion battery intelligence system for transportation that reduce emissions.,https://www.crunchbase.com/organization/icbrg,
Quantitas Energy,Quantitas Energy enables and accelerates the energy transition by making utility-scale storage system investable.,https://www.crunchbase.com/organization/quantitas-energy-43ef,
Arus,"Arus is a manufacturing company that designs and produces drone systems for facade and window cleaning, sandblasting, and coating processes.",https://www.crunchbase.com/organization/arus-78a1,
Blive,Blive empowers charge point operators with oversight and control over their sites energy assets.,https://www.crunchbase.com/organization/blive-651f,
Evaluator,"Evaluator simplifies insurance brokerage by offering clear comparisons, personalized guidance, and easy policy management.",https://www.crunchbase.com/organization/evaluator,
Livity,Livity is currently operating in stealth mode.,https://www.crunchbase.com/organization/livity-6d25,
Enjoy.ly,"Enjoy.ly is the forum for all events, ranging from concerts to cinemas, mountain climbing, bike paths, children's playrooms, etc.",https://www.crunchbase.com/organization/offlinepal,
Vipicash,"Vipicash locks cash into goods and services to eradicate corruption and mismanagement of funds sent to Africa, Asia and Latin America.",https://www.crunchbase.com/organization/vipicash,
Cloudgeni,AI powered cloud security and compliance platform,https://www.crunchbase.com/organization/cloudgeni,
Firi,Firi is a cryptocurrency exchange and custodial solution.,https://www.crunchbase.com/organization/firi,
Ofiniti,Ofiniti is a platform designed for businesses to streamline operations through digital maritime fuel distribution.,https://www.crunchbase.com/organization/ofiniti,
Carbon Centrum,Lower Carbon Emissions Where it is Made!,https://www.crunchbase.com/organization/carboncentrum,
LN Capital,LN Capital is a company that creates routing nodes through the use of capital management software.,https://www.crunchbase.com/organization/ln-capital,
GAMEE,"GAMEE is a high-engagement gaming platform, where users complete game missions, compete in tournaments and earn prizes.",https://www.crunchbase.com/organization/gamee,
Tropic Square,Tropic Square is a digital security company that designs and manufactures open-architecture secure element chips.,https://www.crunchbase.com/organization/tropic-square,
StartupYard,StartupYard is a seed accelerator that focuses on deep tech startups.,https://www.crunchbase.com/organization/startupyard,
Elin.ai,Elin.ai is a healthtech company that offers a mobile app to foster mental health.,https://www.crunchbase.com/organization/elin-ai,
Langtail,Langtail is a SaaS that helps you develop and deploy LLM-powered applications faster.,https://www.crunchbase.com/organization/langtail,
Cashaa,Next Generation Banking Platform,https://www.crunchbase.com/organization/cashaa,
Victoria VR,"Victoria VR is a blockchain-based VR metaverse that offers a multiplayer-online role-playing game, entertainment, and other activities.",https://www.crunchbase.com/organization/victoria-vr,
Lakmoos,Lakmoos is a Market Research firm offering Instant research services to improve consumer insights in limited time frame.,https://www.crunchbase.com/organization/lakmoos-compliant-analytica,
Grid.online,Grid.online is a shared transportation network for parcel delivery.,https://www.crunchbase.com/organization/grid-online,
Edmund,"Edmund is an enterprise level system that interconnects all manufacturing technologies, providing a comprehensive view of entire factory.",https://www.crunchbase.com/organization/edmund-c68b,
DeepScout.ai,DeepScout.ai is a technology-first company that uses AI for data-backed decisions about pricing and assortment.,https://www.crunchbase.com/organization/deepscout-ai,
Finlay,Finlay is an AI-powered recruitment startup for both candidates and businesses.,https://www.crunchbase.com/organization/finlay-e5d6,
Stackswap,Stackswap is a decentralized exchange (DEX) that issues and exchanges tokens on the Stacks blockchain.,https://www.crunchbase.com/organization/stackswap,
Navigara,Navigara is an HR tech company that offers global HR market analytics data and services.,https://www.crunchbase.com/organization/navigara-io,
Blindspot Technologies,"Blindspot Technologies provides DDoS protection solutions, Based on the latest Deep Learning and Cloud technologies.",https://www.crunchbase.com/organization/blindspot-technologies,
Peccala,Peccala is a crypto robo-advisor that allows retail investors to easily and effectively invest in cryptocurrencies.,https://www.crunchbase.com/organization/peccala,
Ackee Blockchain,"Ackee Blockchain is a blockchain security company engaged in designing, developing, and auditing custom blockchain solutions.",https://www.crunchbase.com/organization/ackee-blockchain,
CleverMaps,CleverMaps serves as a location intelligence platform designed to address extensive geospatial business inquiries.,https://www.crunchbase.com/organization/cleveranalytics,
TopMonks,"TopMonks is a software development company specialising in infrastructure projects, blockchain, web applications and startups.",https://www.crunchbase.com/organization/topmonks,
EDIMA solutions,EDIMA solutions is an AI generative tool that provides comprehensive solutions in industrial digitization and process optimization.,https://www.crunchbase.com/organization/edima-solutions,
Lemondia,Airbnb for corporate events,https://www.crunchbase.com/organization/lemondia,
Cashila,Cashila is Financial servcie providing firm offering payment gateway for paying with Bitcoin to euro bank accounts.,https://www.crunchbase.com/organization/cashila,
Newlife.ai,A social creativity platform connecting creative crowds through an ai-driven feedback loop.,https://www.crunchbase.com/organization/newlife-ai,
Cool Cats,"Cool Cats is a web3 studio that creates enthralling characters, comics, games, products, and legendary blue-chip NFT collections.",https://www.crunchbase.com/organization/cool-cats,
Shopcek,Shopcek is an e-commerce platform that integrates cryptocurrency into everyday shopping.,https://www.crunchbase.com/organization/shopcek,
Merchantee,E-commerce SaaS platform that helps online sellers manage sales across EU marketplaces.,https://www.crunchbase.com/organization/merchantee,
Ledger,Ledger provides security and infrastructure solutions to critical digital assets for consumers and institutional investors.,https://www.crunchbase.com/organization/ledger-2,
+Simple,+Simple is an insurance company that provides underwriting and management solutions to small and medium businesses.,https://www.crunchbase.com/organization/simple-fr,
Coinhouse,Coinhouse is the leading French platform for providing investment and payment services in Bitcoin and tens of other crypto assets.,https://www.crunchbase.com/organization/coinhouse,
Kaiko,Digital Assets Market Data Provider Scaled for Institutions,https://www.crunchbase.com/organization/kaiko-2,
Tanssi Network,Tanssi is an app chain infrastructure protocol that simplifies app chain deployment.,https://www.crunchbase.com/organization/tanssi-network,
Ecov -,Ecov accompanies local authorities and communities in achieving real time carpooling lines.,https://www.crunchbase.com/organization/ecov,
Connecting Food,Connecting Food operates as a foodtech and blockchain platform.,https://www.crunchbase.com/organization/connecting-food,
Ternoa,"Ternoa offers Blockchain technology to transfer data securely, anonymously, and without alienation nor intermediaries.",https://www.crunchbase.com/organization/ternoa,
Kactus,Kactus is a Corporate Event Management Software that helps companies easily book their events online.,https://www.crunchbase.com/organization/kactus,
ACINQ,ACINQ is one of the companies working on Bitcoin scalability.,https://www.crunchbase.com/organization/acinq,
Paymium,"Paymium is pioneering Bitcoin services, with several tens of thousands of European customers.",https://www.crunchbase.com/organization/paymium,
Solen,Solen is a Information Technology Company.,https://www.crunchbase.com/organization/solen,
Woleet,"Woleet is a digital notary solution, based on the Bitcoin blockchain.",https://www.crunchbase.com/organization/woleet,
Smart Cast,SMART CAST is an industrial SME technological in the construction of residential buildings.,https://www.crunchbase.com/organization/smart-cast,
Ki Foundation,Ki Foundation provides ecosystem creating services.,https://www.crunchbase.com/organization/ki-foundation,
The DApact,Connecting mission-driven funders to local lenders in poor countries using Dharma smart contract,https://www.crunchbase.com/organization/the-dapact,
Dfns,Dfns provides a Wallets-as-a-Service (WaaS) platform to help companies manage digital assets on blockchains.,https://www.crunchbase.com/organization/xkey,
Kiln,Kiln creates an enterprise-level pledge platform and provides one-click pledge services for encrypted assets.,https://www.crunchbase.com/organization/kiln-60d9,
Request Finance,"Request Finance provides a financial management platform for businesses to handle cryptocurrency invoicing, payroll, and expenses.",https://www.crunchbase.com/organization/request-finance,
Cryptio,"Cryptio is a fintech and SaaS company that offer accounting, audit and tax software for digital assets.",https://www.crunchbase.com/organization/cryptio,
Ejara,"Ejara is an app for Africa and its diasporas to access various investment offers fractional shares, commodities, cryptocurrency, and more.",https://www.crunchbase.com/organization/ejara,
GarantMe,GarantMe is a joint-stock company.,https://www.crunchbase.com/organization/garantme,
Sorare,"Sorare is a global fantasy football game where players can buy, trade, and play with official digital cards.",https://www.crunchbase.com/organization/sorare,
Zama,Zama is a State-of-the-art open-source cryptography that makes protecting privacy easy.,https://www.crunchbase.com/organization/zama-aa23,
Kriptown,Kriptown is the SME New Exchange.,https://www.crunchbase.com/organization/kriptown,
Cometh,Cometh is a game development studio that creates blockchain games that can seamlessly connect with DeFi protocols.,https://www.crunchbase.com/organization/cometh,
Cartesi,Cartesi is a powerful modular blockchain protocol that supercharges the web3 space.,https://www.crunchbase.com/organization/cartesi,
IPaidThat,"IPaidThat automatically imports the invoices you receive, and compare them with your bank transactions.",https://www.crunchbase.com/organization/ipaidthat,
SUN ZU Lab,SUN ZU Lab is an independent provider of quantitative analytics for crypto professionals.,https://www.crunchbase.com/organization/sun-zu-lab,
Sybel,Sybel is an audio platform offering the best UX to listen to podcast and audiobooks with a groundbreaking fully AI-generated library,https://www.crunchbase.com/organization/sybel,
SheeldMarket,SheeldMarket is a cryptocurrency trading platform intended to keep the positions of the market participants hidden.,https://www.crunchbase.com/organization/sheeldmarket,
Farmitoo,Farmitoo is an online purchase of farm equipment directly from manufacturers.,https://www.crunchbase.com/organization/farmitoo,
Karyon Food,Karyon Food is an IT software company that provides online tool for retailer and SME's to manage sales data.,https://www.crunchbase.com/organization/karyon-food,
Irrigeasy,Mobile App for smart irrigation,https://www.crunchbase.com/organization/irrigeasy,
Akidaia,Akidaia offers a non-connected access control solution that operates without the need for internet connectivity or a central database.,https://www.crunchbase.com/organization/akidaia,
bem.builders,"bem.builders is a multi-service web3 agency that provides architectural, artistic, and experiential bridges between brands and the metaverse",https://www.crunchbase.com/organization/bem-builders,
Fairjungle,"Fairjungle helps you to Book, manage, and control business travel.",https://www.crunchbase.com/organization/fairjungle,
Arianee,"The first perpetual, anonymous, and trusted record of global assets.",https://www.crunchbase.com/organization/arianee,
Trustoo,Trustoo specialized in the pre-purchase inspection of used cars.,https://www.crunchbase.com/organization/trustoo,
GeoTwin,World’s first digital population panel and no-code social and behavior simulation tool to disrupt the traditional market research methods,https://www.crunchbase.com/organization/geotwin,
FeenPOP,Solutions for Business Financing and Investing,https://www.crunchbase.com/organization/feenpop,
CRYPTONOVAE,Cryptocurrencies Trading Platform,https://www.crunchbase.com/organization/cryptonovae,
Sweeetch,Sweeetch is a developer of a recruitment and work-study platform designed to provide a work-study program to students.,https://www.crunchbase.com/organization/sweeetch,
MCLedger,"MCLedger makes innovative Cloud, AI, and Blockchain applications for Supply chain and Fintech.",https://www.crunchbase.com/organization/mcledger-5c57,
ByFLOX,ByFLOX is an online website that allows ordering flowers online.,https://www.crunchbase.com/organization/byflox,
Starton,Starton enables Blockchain mass adoption by making the technology simple.,https://www.crunchbase.com/organization/starton,
Ravel Technologies,Ravel is an cryptographic calculation technology,https://www.crunchbase.com/organization/ravel-technologies,
Massa,Massa is a decentralized and scaled blockchain platform.,https://www.crunchbase.com/organization/massa-7234,
IZNES,Iznes is the pan-european record-keeping platform for funds.,https://www.crunchbase.com/organization/iznes,
Woorton,Woorton is a provider of Digital Asset Liquidity.,https://www.crunchbase.com/organization/woorton,
KeeperDAO,KeeperDAO is an on-chain liquidity underwriter for DeFi.,https://www.crunchbase.com/organization/keeperdao,
YEXO,"YEXO is a fintech firm that offers a trading platform for cryptocurrencies, based on the blockchain technology.",https://www.crunchbase.com/organization/jexo,
nodl,Bitcoin Hardware & Infrastructure Provider,https://www.crunchbase.com/organization/nodl-6794,
Mistral AI,Mistral AI is an AI startup that provides developers and businesses access to open and portable generative AI solutions.,https://www.crunchbase.com/organization/mistral-ai,
Qevlar AI,"Qevlar AI specializes in autonomous security operations center solutions to enrich, investigate, contextualize, and triage security alerts.",https://www.crunchbase.com/organization/qevlar-ai,
Dust,Dust is a modular technology platform that builds customized AI assistance to enhance and optimize workflows.,https://www.crunchbase.com/organization/dust-5f56,
Pyannote AI,Pyannote AI provides speaker diarization solutions for accurate voice-to-speaker alignment.,https://www.crunchbase.com/organization/pyannote-ai,
Versant,Versant is an environmental analysis company that provides land identification for ecological compensation.,https://www.crunchbase.com/organization/abundantearth,
H Company,H Company develops AI models to enhance worker productivity and decision-making.,https://www.crunchbase.com/organization/holistic-ai-0946,
Cube,Cube is an AI company building the digital workforce of the future.,https://www.crunchbase.com/organization/cube-ai,
Bioptimus,Bioptimus is an AI company that offers a foundation model for biology to fuel breakthrough discoveries and accelerate.,https://www.crunchbase.com/organization/bioptimus,
Bubblemaps,Bubblemaps offers access to on-chain data and lowers the entry barrier for users.,https://www.crunchbase.com/organization/bubblemaps,
FlexAI,Intelligent Compute. Infinite Possibilities.,https://www.crunchbase.com/organization/flexai,
CO2 AI,CO2 AI is a software platform that helps large and complex companies manage their environmental footprints at scale.,https://www.crunchbase.com/organization/co2-ai,
Klaimy,"Klaimy automates insurance claims processing using OCR, AI, and LLM to enhance efficiency and decision-making.",https://www.crunchbase.com/organization/klaimy,
Morpho Labs,Morpho is a decentralized cryptocurrency lending protocol that provides lending and borrowing services.,https://www.crunchbase.com/organization/morpho-labs,
Comand AI,Comand AI is a defense and security software developing AI-powered command solutions for defense operations.,https://www.crunchbase.com/organization/comand-ai,
RockFi,RockFi is a private management company offering wealth management services.,https://www.crunchbase.com/organization/rockfi,
Usual,The new playbook for financial freedom.,https://www.crunchbase.com/organization/usual-labs,
Gigi,Gigi is an AI concierge for connecting with the best.,https://www.crunchbase.com/organization/ava-291d,
Pivot,The ultimate Source-to-Pay solution for modern companies,https://www.crunchbase.com/organization/pivot-90db,
Twin,"Twin Labs, offer an automated tool for repetitive operations, such as onboarding new staff to all internal systems.",https://www.crunchbase.com/organization/twin-labs,
Delos,Delos is a generative AI platform for organizational and business development for companies.,https://www.crunchbase.com/organization/delos-dedc,
Fipto,Fipto is a digital asset service company that provides treasury management solutions for businesses.,https://www.crunchbase.com/organization/fipto,
GetVocal AI,GetVocal AI is help companies automate customer service processes with the most advanced Conversational AI phone agent.,https://www.crunchbase.com/organization/getvocal-ai,
Argil,Get a perfect video for social media of you or a generic avatar in 2 minutes,https://www.crunchbase.com/organization/argil,
Zealy,Zealy is an operating system that helps companies to grow and engage their community.,https://www.crunchbase.com/organization/zealy,
Presti,Presti is a French startup using GenAI to create lifestyle product photos for furniture brands,https://www.crunchbase.com/organization/presti-4141,
Bitstack,"Bitstack is a crypto-native neobank that is bringing a better way to manage all things money, with better money.",https://www.crunchbase.com/organization/bitstack,
Linkup,Linkup is an AI search engine and web integration platform that enables LLMs and AI agents to access web content and premium sources,https://www.crunchbase.com/organization/linkup-2c1d,
Spiko,Spiko is a tokenization platform offering seamless access to the risk-free rate via Money Market Funds.,https://www.crunchbase.com/organization/spiko,
Orakl Oncology,Orakl Oncology is a precision oncology company that combines data and biology to bring new drugs to cancer patients.,https://www.crunchbase.com/organization/orakl-oncology,
Cohort,Cohort is a B2B SaaS platform that leverages NFTs to reinvent the way brands attract and retain customers.,https://www.crunchbase.com/organization/cohort-xyz,
Biolevate,Biolevate is an AI company that helps healthcare professionals accelerate scientific innovation and improve knowledge management.,https://www.crunchbase.com/organization/Biolevate,
Entalpic,Entalpic is an AI-driven discovery platform for sustainable industries aiming to optimize carbon-intensive sectors.,https://www.crunchbase.com/organization/entalpic,
Aerleum,Aerleum Develops a groundbreaking system that combines CO2 capture and conversion to produce clean fuels and chemicals.,https://www.crunchbase.com/organization/aerleum,
Little John,Little John creates a platform using generative AI to empower insurance brokers.,https://www.crunchbase.com/organization/little-john-be9c,
CrunchDAO,"elite ML community (+6,000 data scientists - +600 PhDs) that develops alpha-generating insights through its collective intelligence network",https://www.crunchbase.com/organization/crunch-dao,
altrove AI,Better alternatives to critical materials,https://www.crunchbase.com/organization/altrove-ai,
Phacet,Phacet offers Personalize artificial intelligence (AI) solutions for SMEs.,https://www.crunchbase.com/organization/phacet,
Flagcat,Flagcat is a webtoon studio producing top notch original series. The company is developing its own proprietary webtoon engine.,https://www.crunchbase.com/organization/flagcat,
ATOBA Energy,ATOBA Energy is an energy manufacturing company that specializes in producing Sustainable Aviation Fuel (SAF).,https://www.crunchbase.com/organization/atoba-energy,
Sylcast,Sylcast is a tech startup that aims to improve the sustainable management of green space resources and ecosystem resilience.,https://www.crunchbase.com/organization/sylcast,
Neuralk-AI,Neuralk-AI is the first AI embedding model designed specifically for structured data representation.,https://www.crunchbase.com/organization/neuralk-ai,
Byzantine Finance,Restaking infrastructure platform,https://www.crunchbase.com/organization/byzantine-finance,
OpusMajor,Opus Major is a company that uses music and video games to create experiences that strengthen human bonds.,https://www.crunchbase.com/organization/opusmajor,
Celest Science,Celest Science is a climate risk modelling startup.,https://www.crunchbase.com/organization/celest-science,
Formality,Formality provides intelligent contract management services.,https://www.crunchbase.com/organization/formality,
Malibou,"Malibou is a web tool that enables French SMBs to manage personnel, conduct payroll, and maintain compliance all in one app.",https://www.crunchbase.com/organization/malibou,
Osium AI,Osium AI revolutionize materials development cycles through AI-driven methodologies.,https://www.crunchbase.com/organization/osium-ai,
Veeton,Veeton is the creator of an artificial intelligence-powered platform for automated fashion imaging.,https://www.crunchbase.com/organization/veeton,
TETMET,TETMET is offering a unique technology for producing huge-scale lattices in an automated manner.,https://www.crunchbase.com/organization/tetmet,
Yampa,Yampa is a startup specializing in autonomous AI agents for customer support.,https://www.crunchbase.com/organization/yampa,
MuchBetter,MuchBetter offer realistic field simulations with AI-generated clients with individual feedback & performance tracking.,https://www.crunchbase.com/organization/muchbetter-6c29,
Freqens,The Negotiation Intelligence Platform helping leading companies optimize spending with live market data.,https://www.crunchbase.com/organization/freqens,
Probabl,Probabl is a provider of open-source data science and machine learning solutions and services.,https://www.crunchbase.com/organization/probabl,
Phospho,phospho is an AI startup that provides developers and businesses access to generative AI solutions.,https://www.crunchbase.com/organization/phospho,
Edumapper,Edumapper is an educational platform providing tools to optimize learning experiences.,https://www.crunchbase.com/organization/edumapper,
baCta,baCta engineer microorganisms to produce rubber from carbon.,https://www.crunchbase.com/organization/bacta,
Tengo,Tengo is a SaaS platform that helps businesses win more public tenders and design to simplify and centralize the entire tendering process.,https://www.crunchbase.com/organization/tengo-deba,
NcodiN,"NcodiN develops nanophotonic chips for data transport for processors that improves speed, energy efficiency and heating of the circuit",https://www.crunchbase.com/organization/ncodin,
Spotlight Medical,"Spotlight Medical develops AI tests to revolutionize cancer treatment, providing everyone with the best possible chance to beat cancer.",https://www.crunchbase.com/organization/spotlight-medical-af78,
Syntetica,Syntetica is a nylon recycling startup which solves the pollution problem in the fashion industry,https://www.crunchbase.com/organization/syntetica,
Theremia,Theremia reduces side effects and increases medication efficacy for various patient groups.,https://www.crunchbase.com/organization/theremia,
CROWN,CROWN is modernizing procurement negotiations through ethical eAuctions.,https://www.crunchbase.com/organization/crown-fdb3,
Kleio,Kleio provides AI to sales and marketing teams.,https://www.crunchbase.com/organization/kleio-525a,
Kor,Kor is the leading proactive care platform to prevent disease and optimize health – starting with a next-gen health check-up for employees.,https://www.crunchbase.com/organization/kor,
ZELIQ,Find buyers. Hit sales numbers!,https://www.crunchbase.com/organization/zeliq,
Guided Energy,Guided Energy is a platform for fleets to charge and operate their electric vehicles.,https://www.crunchbase.com/organization/guided-energy,
Storio Energy,Storio Energy develops and operates innovative energy storage solutions for professionals in France,https://www.crunchbase.com/organization/storio-energy,
Adcytherix,Adcytherix is a biopharmaceutical firm that specializes in the development of new antibody drug conjugates (ADC).,https://www.crunchbase.com/organization/adcytherix,
Beans,Beans is on a mission to fight food waste and rising prices.,https://www.crunchbase.com/organization/beans-fcb6,
Trendex,"Trendex is platform for fan engagement that allows people to buy, sell, and play with their favorite athletes and artists.",https://www.crunchbase.com/organization/trendex-93ce,
Generare,Generare is a biotech startup that discovers next-generation medicines and high-value molecules hiding in soil bacteria.,https://www.crunchbase.com/organization/generare,
Kolet,Kolet is an eSIM card provider that enables users to stay connected to the mobile internet while traveling through an app.,https://www.crunchbase.com/organization/kolet,
Ensol,Ensol is en electricity company providing solar systems to homeowners in France.,https://www.crunchbase.com/organization/ensol-567f,
Steerlab,"Steerlab is an AI-first solution that automates your responses to RFPs, elevates quality, and delivers insights on how to win.",https://www.crunchbase.com/organization/steerlab,
Orus Energy,Orus Energy leverages the power of AI to unlock potential of electrical flexibility in commercial buildings.,https://www.crunchbase.com/organization/orus-energy,
Billy,"Billy is the new event-commerce platform helping organizers create, manage, sell and market their events.",https://www.crunchbase.com/organization/billy-7cba,
Jimini AI,AI-copilot for law firms and legal departments.,https://www.crunchbase.com/organization/jimini-ai,
